"Scenario","subScenario","Envs","Rep","Model","LogLik","AIC","BIC","runTime","VAF","Acc-varG","Acc-totGe","Acc-totCe","Acc-0","Acc-1","Acc-2","Acc-3","Acc-4","varG","varGEI","nGEI","cGEI"
"ModerateGEI","noSpatial",10,1,"Maximum",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954099542846717,NA,NA,NA,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"Expected",NA,NA,NA,NA,0.301300234391228,NA,NA,NA,NA,0.815521674878104,0.815521674878104,NA,NA,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"Pheno",NA,NA,NA,NA,NA,NA,NA,NA,0.910295609765802,0.865427569909912,0.865427569909912,NA,0.767043364286385,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"Main",-9189.03281443398,18400.065628868,18476.9110352943,0.163364887237549,NA,NA,NA,NA,0.880719315958006,0.872768112676979,NA,NA,NA,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"Comp",-9067.63922177787,18159.2784435557,18243.1097960209,0.259451150894165,0.397786820892799,1.28546683989443,0.589720377323617,0.321601886318527,0.920516236480219,0.894122967976437,0.894122967976437,0.571212753205635,0.767807604490239,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"MDiag",-8924.84989374398,17891.699787488,18038.4046543019,0.283041954040527,0.304000277425982,0.417845299247719,0.603905478768186,0.304633856210335,0.851296118234989,0.848314663876069,0.885811440549505,0.536535233828923,0.789165344167192,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"Diag",-9118.65088785074,18277.3017757015,18417.0206964767,0.383682012557983,NA,0.265759112943522,0.797033726760681,0.428228372475853,NA,NA,NA,NA,0.767043364286385,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"FA1",-8849.49329692283,17758.9865938457,17968.5649750085,1.28552889823914,0.315777612404495,0.265647298720871,0.487413481746228,0.236625814727673,0.879789864705394,0.873906039585364,0.88970320076691,0.554513001073257,0.803369149427087,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"FA2",-8743.78129670365,17565.5625934073,17838.014488919,4.35570383071899,0.474069381252738,0.265544017208586,0.442683138236305,0.177052525481632,0.886341490515224,0.857454615662906,0.881350192405564,0.688863993088101,0.818204060524784,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"FA3",-8657.26073186392,17408.5214637278,17736.8609275496,7.69029378890991,0.686786388123172,0.27128675477596,0.292031335717825,0.122430712065647,0.888507084330358,0.87443779917521,0.888047235337922,0.78535665070879,0.832904541519416,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
"ModerateGEI","noSpatial",10,1,"FA4",-8604.64278092563,17317.2855618513,17694.5266479443,11.1449809074402,0.928239119930414,0.305843874937519,0.198785242143272,0.0879143435255775,0.921032505396978,0.882063622533597,0.882797057866265,0.838153849182747,0.845596964419265,0.332428757953926,0.667571242046074,0.409573263895893,0.590426736104107
