"year","rep","scenario","GEI","stage","mean_gv_met","mean_gv_tpe","var_gv_met","var_gv_tpe","acc_met","acc_tpe","met_tpe"
1,1,"Pheno","Moderate","Parents",NA,-0.0167866534450739,NA,0.533686101454038,NA,NA,NA
2,1,"Pheno","Moderate","Parents",NA,0.00335728136080425,NA,0.404063595027058,NA,NA,NA
3,1,"Pheno","Moderate","Parents",NA,0.223744505341811,NA,0.501809191165015,NA,NA,NA
4,1,"Pheno","Moderate","Parents",NA,0.332829488583453,NA,0.398439363916299,NA,NA,NA
5,1,"Pheno","Moderate","Parents",NA,0.278603401878576,NA,0.387860654984353,NA,NA,NA
6,1,"Pheno","Moderate","Parents",NA,0.293844283830963,NA,0.409767563507607,NA,NA,NA
7,1,"Pheno","Moderate","Parents",NA,0.365547156572476,NA,0.444347541447739,NA,NA,NA
8,1,"Pheno","Moderate","Parents",NA,0.418192917534059,NA,0.462024392155521,NA,NA,NA
9,1,"Pheno","Moderate","Parents",NA,0.469405219838021,NA,0.504858420920872,NA,NA,NA
10,1,"Pheno","Moderate","Parents",NA,0.512084552203948,NA,0.423193369843166,NA,NA,NA
11,1,"Pheno","Moderate","Parents",NA,0.588339147716827,NA,0.354128619939904,NA,NA,NA
12,1,"Pheno","Moderate","Parents",NA,0.424190875321607,NA,0.338139630407732,NA,NA,NA
13,1,"Pheno","Moderate","Parents",NA,0.48090636342133,NA,0.434058808464208,NA,NA,NA
14,1,"Pheno","Moderate","Parents",NA,0.45126514872473,NA,0.490214567010723,NA,NA,NA
15,1,"Pheno","Moderate","Parents",NA,0.538058869352666,NA,0.626892752081043,NA,NA,NA
16,1,"Pheno","Moderate","Parents",NA,0.57826456057112,NA,0.552755787578257,NA,NA,NA
17,1,"Pheno","Moderate","Parents",NA,0.710396151447043,NA,0.491241891603867,NA,NA,NA
18,1,"Pheno","Moderate","Parents",NA,0.814366153237479,NA,0.263243879348525,NA,NA,NA
19,1,"Pheno","Moderate","Parents",NA,0.961837814480605,NA,0.171706815726537,NA,NA,NA
20,1,"Pheno","Moderate","Parents",NA,0.918921443589366,NA,0.232138471220689,NA,NA,NA
1,1,"Pheno","Moderate","HDRW",0.0161198706957232,0.0257171583618399,0.434078363075046,0.48225174181981,0.173753504116205,0.21835583278342,0.776468991726913
2,1,"Pheno","Moderate","HDRW",-0.12690869819817,-0.0465261643713012,3.03276761379524,0.440926239863281,0.379683191443722,0.523923061574603,0.723208840174439
3,1,"Pheno","Moderate","HDRW",-0.0392103551790146,0.00352665332619296,0.111146917186602,0.54057086066976,0.0771360160503186,0.114304259263165,0.693073002599987
4,1,"Pheno","Moderate","HDRW",0.0378097393000288,0.0606061973473909,0.20457768628818,0.44820964632366,0.120882820610451,0.185725553779807,0.633942638006635
5,1,"Pheno","Moderate","HDRW",0.233669948418349,0.245741047390864,1.03374050323271,0.482609889407156,0.3136727012953,0.341500221620627,0.90580334131892
6,1,"Pheno","Moderate","HDRW",0.364472547732481,0.389050983473465,1.84425071118753,0.43326080269536,0.303374419950457,0.424666788298152,0.677978666468238
7,1,"Pheno","Moderate","HDRW",0.453804538032496,0.256763983742496,2.36633575146943,0.469320348885819,0.359835659253292,0.475614270492118,0.760080453460149
8,1,"Pheno","Moderate","HDRW",0.282840446438466,0.406006997345406,0.422819580518015,0.479029755182135,0.148602308284176,0.22063636467942,0.696307005488322
9,1,"Pheno","Moderate","HDRW",-0.0483579891502991,0.356650654763228,0.178034951017333,0.52621982725261,0.0292828210306358,0.131287367269928,0.164967229717783
10,1,"Pheno","Moderate","HDRW",-0.211026463300299,0.499497149733623,0.306423527764397,0.458857535587412,-0.0445575471174964,0.208020421598742,-0.178125045334876
11,1,"Pheno","Moderate","HDRW",0.576417589624638,0.488730196967029,1.28632240413107,0.535171890108749,0.23287782052053,0.367587907127356,0.63271077633541
12,1,"Pheno","Moderate","HDRW",0.369681448114852,0.502740714943968,1.34917799317034,0.471054636159637,0.24892755612636,0.392360043566112,0.618245577583868
13,1,"Pheno","Moderate","HDRW",1.11294250666474,0.549988330741256,3.23824989342737,0.409227852682705,0.396475036218198,0.537132048238689,0.752979782516311
14,1,"Pheno","Moderate","HDRW",0.729910221660526,0.395939363867088,2.14703816919655,0.421963116455521,0.292986353199296,0.453417517802363,0.659422864456074
15,1,"Pheno","Moderate","HDRW",0.912100083798233,0.54673975275957,2.16927145846508,0.465952682231989,0.354741816325048,0.449110430646021,0.790108779465786
16,1,"Pheno","Moderate","HDRW",0.577373042409861,0.434394141047012,0.633077359485795,0.479537415834282,0.210419005049582,0.258131566318397,0.840066641123681
17,1,"Pheno","Moderate","HDRW",0.55224196060538,0.576324432365963,1.45354219931551,0.542570343254294,0.316931986547224,0.386673972686951,0.841272547925821
18,1,"Pheno","Moderate","HDRW",0.690376131790425,0.590607363587606,2.5565344439643,0.532680334759385,0.191763313342421,0.492436301401646,0.376614651386554
19,1,"Pheno","Moderate","HDRW",0.0429311001260333,0.71402492714909,1.24418050865672,0.461479715667749,0.136763465457404,0.362927252489675,0.328987423946227
20,1,"Pheno","Moderate","HDRW",1.06761483293461,0.779995593616991,0.889822464922597,0.353162759736974,0.216198099240878,0.30771790928346,0.697128493607151
